name,code,rank,marketcap,country,share_price,change(1day),change(1year),categories
employers holdings,eig,4385,1170000000,usa,43,-1.53%,7.94%,insurance
kornit digital,krnt,4386,1170000000,israel,23,-3.18%,-85.54%,
galaxy surfactants,galaxysurf.ns,4384,1170000000,india,33,-0.70%,-11.11%,chemicals
nicolet bankshares,nic,4383,1170000000,usa,79,0.26%,5.67%,"banks, financialservices"
lakeland bancorp,lbai,4382,1170000000,usa,18,-0.44%,-0.44%,"banks, financialservices"
trimas,trs,4381,1170000000,usa,28,-0.81%,-18.59%,"consumergoods, manufacturing"
cosmo pharmaceuticals,c43.f,4500,1070000000,ireland,65,0.00%,-2.93%,"biotech, pharmaceuticals"
brandywine realty trust,bdn,4498,1070000000,usa,6,0.00%,-54.21%,
grindr,grnd,4497,1070000000,usa,6,-2.67%,-38.74%,"onlinedating, internet, tech"
s&t ag,sant.f,4499,1070000000,austria,16,0.00%,-28.10%,professionalservices
hangzhou shunwang technology,300113.sz,4496,1070000000,china,1,-2.26%,-34.04%,"videogames, entertainment"
karur vysya bank,karurvysya.ns,4495,1070000000,india,1,9.69%,107.69%,"banks, financialservices"
rhon-klinikum,rhk.de,4494,1080000000,germany,16,0.00%,-7.03%,
altus power,amps,4492,1080000000,usa,6,3.20%,-32.57%,"energy, electricity, renewableenergy"
cowen,cown,4493,1080000000,usa,38,0.00%,6.44%,"banks, financialservices, investment"
cancom,cok.f,4491,1080000000,germany,30,-0.55%,-56.57%,
xponential fitness,xpof,4489,1080000000,usa,22,-1.12%,-4.72%,
docebo,dcbo,4490,1080000000,canada,31,3.05%,-55.24%,"education, tech, software"
vericel,vcel,4488,1080000000,usa,23,1.68%,-42.00%,"pharmaceuticals, biotech"
consensus cloud solutions,ccsi,4487,1080000000,usa,54,-1.08%,-13.23%,"software, tech"
bally's corporation,baly,4486,1080000000,usa,23,-2.12%,-41.22%,"entertainment, gambling"
mission produce,avo,4484,1090000000,usa,15,-1.41%,-18.53%,food
fenix outdoor,foi-b.st,4485,1090000000,switzerland,80,-1.18%,-38.46%,clothing
pgt innovations,pgti,4483,1090000000,usa,18,-0.05%,-17.92%,manufacturing
cronos group,cron,4482,1090000000,canada,2,-4.62%,-35.92%,cannabis
seabridge gold,sa,4600,980000000,canada,12,0.16%,-31.31%,"mining, goldmining, silvermining"
franchise group,frg,4599,980000000,usa,25,-0.39%,-47.66%,retail
headwater exploration,hwx.to,4598,980000000,canada,4,-1.35%,5.93%,"oilgas, energy"
prosegur,psg.mc,4596,980000000,spain,1,0.11%,-26.38%,securityprotectionservices
benchmark electronics,bhe,4597,980000000,usa,28,-0.07%,8.21%,"electronics, manufacturing"
italtile,ite.jo,4595,990000000,south africa,0,-0.14%,-11.96%,"retail, furniture, homekitchenappliances"
galaxy digital holdings,7lx.f,4594,990000000,usa,3,0.51%,-85.37%,"bitcoin, financialservices"
silvercrest metals,silv,4592,990000000,canada,6,2.42%,-14.97%,"mining, silvermining, goldmining"
hireright,hrt,4593,990000000,usa,12,-0.72%,-29.67%,"professionalservices, staffingemploymentservices"
borr drilling,borr,4591,990000000,bermuda,4,-5.61%,383.91%,"oilgas, energy"
beyond meat,bynd,4590,990000000,usa,15,12.39%,-78.11%,food
naas technology,naas,4589,990000000,china,4,-5.87%,-66.50%,"electricity, evcharging"
lendingclub,lc,4588,990000000,usa,9,-0.84%,-69.83%,"financialservices, tech, internet"
precision drilling corporation,pds,4587,990000000,canada,73,-1.21%,119.99%,
construcciones y auxiliar de ferrocarriles,caf.mc,4586,990000000,spain,29,-0.89%,-26.82%,manufacturing
caverion,cav1v.he,4585,990000000,finland,7,0.14%,3.69%,
mullen group,mtl.to,4584,990000000,canada,10,-0.81%,14.36%,transportation
radware,rdwr,4700,900000000,israel,20,-0.59%,-32.89%,
arqit quantum,arqq,4699,900000000,uk,7,3.78%,-68.93%,"software, tech"
ast spacemobile,asts,4697,900000000,usa,4,-6.78%,-51.13%,"telecommunication, tech, aerospace"
helix energy solutions,hlx,4698,900000000,usa,5,-3.71%,83.69%,"oilgasequipmentservices, oilgas, energy"
sumo logic,sumo,4696,900000000,usa,7,-4.96%,-49.61%,"software, tech"
chalet hotels,chalet.ns,4694,910000000,india,4,-0.26%,44.16%,"hotels, travel"
rashtriya chemicals and fertilizers,rcf.ns,4695,900000000,india,1,0.11%,70.10%,"chemicals, fertilizercompanies"
ceat,ceatltd.ns,4693,910000000,india,22,-0.36%,49.73%,tires
skywest,skyw,4692,910000000,usa,18,-2.54%,-56.46%,"airlines, travel, transportation"
columbus mckinnon,cmco,4690,910000000,usa,31,0.44%,-32.03%,
nurnberger versicherung,nbg6.f,4688,910000000,germany,78,0.00%,-9.26%,
select energy services,wttr,4691,910000000,usa,7,0.25%,30.39%,
iheartmedia,ihrt,4689,910000000,usa,7,-2.47%,-62.67%,mediapress
b&g foods,bgs,4686,910000000,usa,12,0.00%,-57.08%,food
indie semiconductor,indi,4687,910000000,usa,7,-2.40%,-46.17%,"semiconductors, tech, techhardware, lidar, autonomousdriving"
shentel,shen,4685,910000000,usa,18,0.66%,-29.76%,
prog holdings,prg,4684,910000000,usa,18,-0.60%,-57.04%,"tech, financialservices"
summit hotel properties,inn,4800,830000000,usa,7,0.26%,-17.13%,"realestate, investment, reits, hotels, travel"
ichor systems,ichr,4798,830000000,usa,28,0.31%,-38.07%,"semiconductors, tech, techhardware"
polypeptide group,ppgn.sw,4799,830000000,switzerland,25,-3.27%,-82.07%,"pharmaceuticals, biotech, chemicals"
viewray,vray,4797,830000000,usa,4,0.88%,-13.70%,"biotech, medicaldevices"
oatly,otly,4796,830000000,sweden,1,-5.37%,-83.92%,food
zhihu,zh,4795,830000000,china,1,-9.72%,-80.85%,"tech, internet"
terveystalo,ttalo.he,4794,830000000,finland,6,-1.41%,-47.24%,"telehealth, healthcare, tech, internet"
first foundation,ffwm,4793,830000000,usa,14,4.00%,-43.93%,"banks, financialservices"
community trust bancorp,ctbi,4792,830000000,usa,46,-1.16%,8.01%,"banks, financialservices"
qcr holdings,qcrh,4791,830000000,usa,49,-1.51%,-10.64%,"banks, financialservices"
cardinal energy,cj.to,4789,830000000,canada,5,-0.81%,51.98%,"oilgas, energy"
bain capital,bcsf,4790,830000000,usa,12,-0.31%,-17.14%,"assetmanagement, investment"
cera sanitaryware,cera.ns,4788,830000000,india,64,-0.52%,0.23%,
patrizia immobilien,p1z.vi,4787,830000000,germany,9,0.00%,-58.99%,realestate
first watch restaurant,fwrg,4786,830000000,usa,14,2.53%,-32.86%,"restaurantchains, food"
riskified,rskd,4785,830000000,israel,4,-2.17%,-44.58%,"software, tech, financialservices"
borosil,bororenew.ns,4784,840000000,india,6,-1.73%,-14.91%,glassware
idreamsky,1119.hk,4899,760000000,china,0,5.69%,-38.27%,"videogames, entertainment"
walkme,wkme,4900,760000000,israel,9,2.83%,-51.73%,"software, tech"
new found gold,nfgc,4898,770000000,canada,4,-0.88%,-23.13%,"mining, goldmining"
westlake chemical partners,wlkp,4896,770000000,usa,21,-1.84%,-7.87%,chemicals
team17,tm17.l,4895,770000000,uk,5,-0.12%,-43.70%,"videogames, tech, entertainment"
smart global holdings,sgh,4897,770000000,usa,15,-0.94%,-74.51%,"semiconductors, tech, techhardware"
gladstone commercial,good,4894,770000000,usa,19,1.48%,-16.62%,"realestate, investment, reits"
bioceres crop solutions,biox,4892,770000000,argentina,12,-1.44%,-13.06%,agriculture
triumph group,tgi,4893,770000000,usa,11,1.28%,-30.47%,aerospace
amalgamated financial,amal,4890,770000000,usa,25,-3.11%,48.73%,"banks, financialservices"
allego,allg,4891,770000000,netherlands,2,2.11%,-70.64%,"evcharging, electricity, energy"
armour residential reit,arr,4889,770000000,usa,5,1.56%,-42.55%,"reits, realestate, investment"
boston omaha,boc,4888,770000000,usa,26,-2.25%,-9.35%,advertising
wisdomtree investments,wetf,4886,770000000,usa,5,0.00%,-16.64%,"financialservices, investment, assetmanagement"
sligro food,sligr.as,4887,770000000,netherlands,17,0.85%,-23.07%,"food, retail, supermarketchains"
rci hospitality holdings,rick,4885,770000000,usa,84,-2.69%,29.29%,
yext,yext,4884,770000000,usa,6,0.63%,-40.08%,
artis reit,ax-un.to,4883,770000000,canada,6,-0.76%,-24.15%,"realestate, investment, reits"
rush street interactive,rsi,4881,770000000,usa,3,-1.40%,-80.09%,"entertainment, gambling, internet"
quanex building products,nx,4882,770000000,usa,23,-1.34%,1.86%,
cerence,crnc,5000,700000000,usa,17,0.51%,-77.03%,
juventus turin,juve.mi,4997,700000000,italy,0,2.19%,-45.83%,football
riot blockchain,riot,4999,700000000,usa,4,-3.65%,-85.78%,"tech, bitcoin, bitcoinmining"
procaps group,proc,4998,700000000,luxembourg,6,0.97%,-36.70%,"pharmaceuticals, biotech"
point biopharma,pnt,4996,700000000,usa,6,-0.45%,3.08%,"biotech, pharmaceuticals"
expensify,exfy,4995,700000000,usa,8,0.82%,-78.82%,"software, tech"
synthomer,synt.l,4994,700000000,uk,1,-5.27%,-74.09%,chemicals
design therapeutics,dsgn,4993,700000000,usa,12,-6.00%,-35.62%,"pharmaceuticals, biotech"
orient electric,orientelec.ns,4992,710000000,india,3,0.20%,-31.91%,homekitchenappliances
heska corporation,hska,4990,710000000,usa,65,1.03%,-62.61%,"medicaldevices, diagnosticsandtesting"
gorman-rupp,grc,4991,710000000,usa,27,0.33%,-39.82%,
orron energy,orron.st,4988,710000000,sweden,2,6.20%,-93.84%,"oilgas, energy"
pubmatic,pubm,4987,710000000,usa,13,-6.54%,-64.43%,"advertising, internet, software, tech"
itm power,itm.l,4989,710000000,uk,1,0.98%,-80.66%,"energy, renewableenergy, electricity"
suncoke energy,sxc,4985,710000000,usa,8,0.59%,32.66%,
nerdwallet,nrds,4986,710000000,usa,9,-8.21%,-40.31%,"financialservices, tech, internet"
advantage solutions,adv,5034,680000000,usa,2,-1.83%,-71.66%,advertising
wallbox,wbx,4984,710000000,spain,4,-10.59%,-65.05%,"evcharging, electricity, energy"
aurinia pharmaceuticals,auph,5075,660000000,canada,4,-2.72%,-76.99%,
endeavour silver,exk,5100,640000000,canada,3,6.90%,-21.79%,"mining, silvermining"
indus realty trust,indt,5099,640000000,usa,63,-0.31%,-18.87%,"realestate, investment, reits"
bigcommerce,bigc,5098,640000000,usa,8,0.23%,-78.62%,"ecommerce, internet, tech"
standard lithium,sli,5097,650000000,canada,3,0.52%,-58.51%,mining
allovir,alvr,5094,650000000,usa,6,-2.24%,-63.89%,"pharmaceuticals, biotech"
trueblue,tbi,5096,650000000,usa,19,-2.40%,-26.17%,"staffingemploymentservices, professionalservices"
aedas homes,aedas.mc,5095,650000000,spain,14,-0.42%,-46.55%,construction
tango therapeutics,tngx,5093,650000000,usa,7,-1.20%,-31.42%,"pharmaceuticals, biotech"
patriot battery metals,pmet.v,5092,650000000,canada,7,15.22%,"1,902.78%",mining
g-iii apparel group,giii,5089,650000000,usa,13,1.69%,-53.11%,"clothing, retail"
sandridge energy,sd,5091,650000000,usa,17,-2.96%,70.48%,"oilgas, energy"
york water,yorw,5090,650000000,usa,45,0.13%,-4.87%,utilitycompanies
reliance power,rpower.ns,5088,650000000,india,0,0.96%,11.76%,"electricity, energy"
enfusion,enfn,5086,650000000,usa,9,2.15%,-52.35%,"financialservices, investment"
maverix metals,mmx,5087,650000000,canada,4,3.50%,-1.99%,"mining, goldmining"
mastek,mastek.ns,5085,650000000,india,21,0.77%,-39.19%,"software, tech"
ani pharmaceuticals,anip,5084,650000000,usa,37,0.91%,-10.08%,"pharmaceuticals, tech"
shoe carnival,scvl,5082,650000000,usa,24,-1.22%,-39.89%,"footwear, retail"
pitney bowes,pbi,5083,650000000,usa,3,-2.07%,-44.66%,"transportation, courier"
gh research,ghrs,5200,580000000,ireland,11,2.94%,-53.24%,"biotech, pharmaceuticals"
audiocodes,audc,5199,580000000,israel,17,-3.30%,-49.39%,"software, tech"
accolade,accd,5197,580000000,usa,8,4.50%,-69.39%,healthcare
cmge technology group,0302.hk,5198,580000000,china,0,3.77%,-48.78%,"videogames, entertainment"
godawari power & ispat,gpil.ns,5195,580000000,india,4,3.58%,20.00%,
ducommun,dco,5196,580000000,usa,48,1.30%,4.80%,"aerospace, electronics"
health catalyst,hcat,5194,580000000,usa,10,6.68%,-73.05%,
berry corporation,bry,5192,580000000,usa,7,-1.67%,-13.84%,"oilgas, energy"
tpg real estate finance trust,trtx,5193,580000000,usa,7,2.16%,-39.92%,"realestate, financialservices"
hikal,hikal.ns,5191,580000000,india,4,2.01%,-28.76%,pharmaceuticals
infibeam avenues,infibeam.ns,5190,580000000,india,0,0.85%,-60.38%,"ecommerce, financialservices, tech"
hartalega,5168.kl,5189,580000000,malaysia,0,0.00%,-73.53%,glovesppe
morphosys,mor,5188,590000000,germany,4,0.93%,-55.56%,
microvast,mvst,5187,590000000,usa,1,1.06%,-73.29%,"batteries, electricity"
pds multinational,pdsmfl.ns,5186,590000000,india,22,2.08%,12.46%,"retail, clothing"
karnataka bank,ktkbank.ns,5184,590000000,india,1,0.26%,113.48%,"banks, financialservices"
drdgold,drd,5183,590000000,south africa,6,4.05%,-21.96%,"mining, goldmining"
faro technologies,faro,5185,590000000,usa,31,-2.33%,-55.64%,"scientifictechnicalinstruments, tech"
simona,sim0.f,5299,520000000,germany,88,-6.67%,-6.85%,chemicals
midwestone financial group,mofg,5300,520000000,usa,33,0.06%,6.21%,"banks, financialservices"
playstudios,myps,5298,520000000,usa,4,0.00%,-1.45%,"videogames, tech"
frontier developments,fdev.l,5297,530000000,uk,13,-2.91%,-45.97%,"videogames, entertainment, tech"
chuy's,chuy,5294,530000000,usa,29,-2.49%,3.55%,"restaurantchains, food"
vaalco energy,egy,5295,530000000,usa,4,-0.61%,53.75%,"oilgas, energy"
olectra greentech,olectra.ns,5296,530000000,india,6,6.45%,-37.49%,
avadel pharmaceuticals,avdl,5293,530000000,ireland,8,3.95%,4.83%,"pharmaceuticals, biotech"
materialise nv,mtls,5292,530000000,belgium,9,0.89%,-61.59%,"3dprinting, software, tech"
tiptree,tipt,5290,530000000,usa,14,2.71%,13.32%,insurance
diamond hill investment group,dhil,5289,530000000,usa,177,-0.04%,-10.59%,"investment, assetmanagement"
hillevax,hlvx,5291,530000000,usa,16,-0.06%,,"biotech, pharmaceuticals"
benson hill,bhil,5288,530000000,usa,2,-1.89%,-62.96%,agriculture
varroc,varroc.ns,5285,530000000,india,3,0.05%,-11.78%,automotivesuppliers
zynex,zyxi,5287,530000000,usa,13,2.27%,9.83%,medicaldevices
bright health,bhg,5284,530000000,usa,0,-4.84%,-79.18%,"healthcare, insurance"
archer aviation,achr,5286,530000000,usa,2,-2.21%,-66.00%,"aircraftmanufacturers, manufacturing, aerospace"
1-800-flowers,flws,5283,540000000,usa,8,-5.42%,-69.28%,
mishra dhatu nigam,midhani.ns,5282,540000000,india,2,-0.65%,16.19%,"steelproducers, steelindustry"
vib vermogen,vih1.f,5281,540000000,germany,19,-1.80%,-59.49%,
safari industries india,safari.ns,5400,470000000,india,20,-0.98%,75.61%,
bafang yunji,2753.tw,5399,470000000,taiwan,7,4.77%,55.99%,"restaurantchains, food"
dxp enterprises,dxpe,5398,470000000,usa,25,-2.19%,-8.66%,
five star bancorp,fsbc,5397,470000000,usa,27,-0.82%,-13.02%,"banks, financialservices"
inogen,ingn,5393,480000000,usa,20,-0.90%,-35.29%,medicaldevices
schneider electric infrastructure,schneider.ns,5395,470000000,india,2,-0.75%,41.84%,
rovio entertainment,rovio.he,5396,470000000,finland,6,-0.75%,-15.50%,"videogames, entertainment"
mesoblast,meso,5394,470000000,australia,3,-6.18%,-51.00%,"pharmaceuticals, biotech"
kezar life sciences,kzr,5392,480000000,usa,7,-2.23%,-52.05%,"pharmaceuticals, biotech"
microvision,mvis,5391,480000000,usa,2,1.40%,-58.81%,"tech, lidar, techhardware, autonomousdriving"
hyliion,hyln,5390,480000000,usa,2,-4.63%,-57.59%,electricvehicles
quanterix,qtrx,5389,480000000,usa,13,0.23%,-68.89%,"diagnosticsandtesting, biotech"
nano-x imaging,nnox,5388,480000000,israel,9,-6.67%,-48.21%,medicaldevices
nazara technologies,nazara.ns,5387,480000000,india,7,-1.10%,-52.06%,"videogames, tech, esports"
smartrent,smrt,5386,480000000,usa,2,10.41%,-77.78%,"software, tech"
national presto industries,npk,5385,480000000,usa,68,-1.96%,-16.57%,
tsakos energy navigation,tnp,5384,480000000,greece,16,-3.42%,116.92%,"maritimetransportation, transportation, oilgas, energy"
ace hardware indonesia,aces.jk,5383,480000000,indonesia,0,0.00%,-66.67%,retail
anika therapeutics,anik,5443,450000000,usa,31,0.58%,-22.96%,medicaldevices
the tinplate company of india,tinplate.ns,5500,410000000,india,4,0.97%,8.99%,
bel fuse,belfb,5498,420000000,usa,34,1.13%,172.30%,"electronics, manufacturing"
world acceptance corporation,wrld,5497,420000000,usa,67,-4.19%,-68.74%,financialservices
rani therapeutics,rani,5499,420000000,usa,8,9.67%,-64.77%,"pharmaceuticals, biotech"
enterprise bancorp,ebtc,5496,420000000,usa,34,-0.37%,-12.03%,"banks, financialservices"
vigil neuroscience,vigl,5495,420000000,usa,11,-3.41%,,"pharmaceuticals, biotech"
power mech projects,powermech.ns,5494,420000000,india,28,-0.59%,112.09%,construction
xperi,xper,5492,420000000,usa,10,-1.75%,-48.55%,"semiconductors, tech"
beazer homes usa,bzh,5493,420000000,usa,13,2.46%,-38.61%,construction
mahinlogistics,mahlog.ns,5491,420000000,india,5,-1.53%,-35.02%,
bluegreen vacations,bvh,5489,420000000,usa,21,0.05%,-30.88%,"hotels, travel"
digimarc,dmrc,5487,430000000,usa,21,-2.54%,-51.27%,"software, tech"
entravision communications,evc,5490,420000000,usa,5,-0.57%,-28.01%,mediapress
skeena resources,ske,5486,430000000,canada,5,4.24%,-39.47%,"goldmining, silvermining, mining"
pearl abyss,263750.kq,5488,420000000,south korea,32,1.16%,-67.07%,"videogames, tech, entertainment"
mirza international,mirzaint.ns,5485,430000000,india,3,-1.58%,164.93%,footwear
poseida therapeutics,pstx,5484,430000000,usa,5,3.93%,-27.77%,"genetherapy, genomics, pharmaceuticals, biotech"
tcns clothing,tcnsbrands.ns,5483,430000000,india,7,-0.83%,-35.42%,clothing
energy vault,nrgv,5600,370000000,usa,2,-1.44%,-72.42%,"energy, renewableenergy"
bahnhof ab,3b7.f,5598,370000000,sweden,3,-1.80%,-8.99%,telecommunication
kewal kiran clothing,kkcl.ns,5599,370000000,india,6,1.00%,-63.18%,clothing
nkarta,nktx,5597,370000000,usa,7,-3.36%,-49.87%,"pharmaceuticals, biotech"
hersha hospitality trust,ht,5596,370000000,usa,9,-2.04%,-2.56%,"reits, realestate, investment"
ribbon communications,rbbn,5594,370000000,usa,2,-7.00%,-59.50%,telecommunication
jci hitachi india,jchac.ns,5595,370000000,india,13,-0.94%,-43.96%,
5e advanced materials,feam,5593,380000000,usa,8,1.17%,,
rubicon technologies,rbt,5592,380000000,usa,2,-1.67%,,"wasterecycling, software, tech"
karyopharm therapeutics,kpti,5591,380000000,usa,4,-7.50%,-35.40%,"pharmaceuticals, biotech"
atea pharmaceuticals,avir,5589,380000000,usa,4,-1.50%,-44.36%,"pharmaceuticals, biotech"
latham group,swim,5590,380000000,usa,3,3.50%,-87.39%,
brt apartments,brt,5587,380000000,usa,20,1.56%,2.85%,"reits, realestate, investment"
southern first bancshares,sfst,5588,380000000,usa,47,0.02%,-20.90%,"banks, financialservices"
bed bath & beyond,bbby,5586,380000000,usa,3,-2.25%,-82.92%,retail
tutor perini,tpc,5585,380000000,usa,7,-1.85%,-44.14%,construction
rxsight,rxst,5584,380000000,usa,13,8.22%,18.02%,medicaldevices
gaotu techedu,gotu,5582,380000000,china,1,-0.67%,-32.11%,education
nacco industries,nc,5700,330000000,usa,45,-2.73%,51.90%,mining
tallink grupp,t5n.f,5583,380000000,estonia,0,-0.20%,-13.33%,"cruiselines, transportation, travel, maritimetransportation"
orient cement,orientcem.ns,5699,330000000,india,1,3.12%,-23.81%,"cement, buildingmaterials"
sichuan xunyou network technology,300467.sz,5697,330000000,china,1,-0.86%,-22.90%,"videogames, entertainment"
ardelyx,ardx,5696,330000000,usa,1,-2.19%,23.45%,"pharmaceuticals, biotech"
cymabay therapeutics,cbay,5698,330000000,usa,3,-2.96%,12.93%,"pharmaceuticals, biotech"
loop media,lptv,5694,330000000,usa,6,-7.55%,140.00%,entertainment
lsi industries,lyts,5693,330000000,usa,12,2.27%,72.91%,"ledlightingmanufacturers, manufacturing"
centessa pharmaceuticals,cnta,5692,330000000,uk,3,-4.79%,-72.67%,"pharmaceuticals, biotech"
petiq,petq,5695,330000000,usa,11,-2.52%,-51.53%,
surya roshni,suryarosni.ns,5691,330000000,india,6,2.97%,-25.78%,
afc gamma,afcg,5690,340000000,usa,16,-0.95%,-25.08%,"reits, realestate, investment"
corby spirit and wine,csw-a.to,5688,340000000,canada,12,-2.24%,-9.72%,"alcoholicbeverages, beverages"
granite point mortgage trust,gpmt,5689,340000000,usa,6,0.46%,-46.85%,"realestate, financialservices"
dzs inc,dzsi,5686,340000000,usa,11,-2.73%,-21.45%,"telecommunicationsequipment, networkinghardware"
digital bros,dib.mi,5687,340000000,italy,23,-2.40%,-33.47%,"videogames, tech, entertainment"
vicarious surgical,rbot,5684,340000000,usa,2,-0.36%,-74.03%,medicaldevices
american realty investors,arl,5685,340000000,usa,21,-2.17%,80.63%,"realestate, investment"
astronics corporation,atro,5683,340000000,usa,10,1.92%,-1.85%,aerospace
first business financial services,fbiz,5744,310000000,usa,37,-0.48%,30.23%,financialservices
