name,rank,marketcap,country,share_price,change1d,change1y,categories
kontoor brands,3426,2580000000.0,usa,46.0,0.89%,-8.76%,clothing 
voltalia,3411,2600000000.0,france,19.0,0.44%,1.50%,electricity energy 
omnicell,3417,2600000000.0,usa,58.0,1.20%,-64.57%,software tech healthcare 
urban outfitters,3424,2580000000.0,usa,28.0,1.48%,-0.43%,clothing retail 
mallplaza,3413,2600000000.0,chile,1.0,1.74%,27.88%,real-estate 
mirati therapeutics,3422,2590000000.0,usa,45.0,2.27%,-63.80%,
transalta,3425,2580000000.0,canada,9.0,0.21%,-6.62%,energy electricity 
kunlun tech,3420,2590000000.0,china,2.0,1.03%,-40.05%,video-games entertainment 
international distributions services royal mail,3419,2590000000.0,united-kingdom,2.0,-0.40%,,delivery-services 
champion reit,3418,2600000000.0,hong-kong,0.0,1.19%,-15.38%,real-estate investment reit 
siltronic,3414,2600000000.0,germany,86.0,0.50%,-40.14%,
perficient,3412,2600000000.0,usa,75.0,0.75%,-26.80%,professional-services 
mge energy,3415,2600000000.0,usa,71.0,-0.66%,-7.65%,
bayer crop science,3408,2600000000.0,india,58.0,-0.96%,-16.64%,chemicals agriculture 
arch resources,3409,2600000000.0,usa,144.0,2.96%,49.25%,mining coal-mining 
steve madden,3395,2620000000.0,usa,33.0,0.36%,-19.69%,
nova measuring instruments,3397,2620000000.0,israel,91.0,2.24%,-35.75%,semiconductors tech tech-hardware 
xerox,3400,2620000000.0,usa,16.0,1.63%,-29.30%,tech tech-hardware electronics 
vermilion energy,3410,2600000000.0,canada,15.0,2.93%,0.79%,oil-gas energy 
resideo technologies,3398,2620000000.0,usa,17.0,0.96%,-31.33%,
mdc holdings,3404,2610000000.0,usa,36.0,1.26%,-33.25%,
multiplan empreendimentos imobiliarios,3405,2610000000.0,brazil,4.0,1.43%,35.87%,real-estate 
also holding,3407,2610000000.0,switzerland,203.0,1.72%,-31.29%,
cno financial group,3394,2620000000.0,usa,22.0,-0.26%,-12.40%,
fulton financial,3403,2610000000.0,usa,15.0,-5.86%,-17.22%,banks financial-services 
extreme networks,3406,2610000000.0,usa,19.0,0.56%,39.12%,telecommunications-equipment 
travis perkins,3396,2620000000.0,united-kingdom,12.0,-0.79%,-42.68%,retail building-materials 
insmed,3399,2620000000.0,usa,19.0,1.18%,-18.48%,
aag,3402,2610000000.0,,10.0,1.45%,-43.58%,electronics 
teamviewer,3390,2630000000.0,germany,14.0,0.70%,3.05%,tech internet software 
leslie's,3392,2620000000.0,usa,14.0,1.06%,-35.12%,
punjab & sind bank,3393,2620000000.0,india,0.0,-1.87%,69.57%,banks financial-services 
spin master,3389,2630000000.0,canada,25.0,0.82%,-29.92%,toys entertainment video-games 
joyy,3381,2630000000.0,china,37.0,0.69%,-27.65%,
alarmcom,3379,2640000000.0,usa,52.0,1.42%,-32.43%,
trigano,3383,2630000000.0,france,138.0,1.92%,-32.97%,specialty-vehicles manufacturing 
rand merchant investment,3391,2630000000.0,south-africa,1.0,0.00%,-38.10%,financial-services investment 
energizer holdings,3380,2640000000.0,usa,37.0,-0.03%,-9.73%,
pan ocean,3386,2630000000.0,south-korea,4.0,1.16%,11.54%,maritime-transportation container-shipping transportation 
sage therapeutics,3388,2630000000.0,usa,44.0,0.54%,3.14%,
itron,3384,2630000000.0,usa,58.0,0.95%,-7.51%,
ebro foods,3378,2640000000.0,spain,17.0,-1.00%,-11.63%,food 
fortis healthcare,3382,2630000000.0,india,3.0,0.19%,-10.03%,healthcare 
lundin gold,3385,2630000000.0,canada,11.0,-0.33%,45.51%,mining gold-mining 
dunelm group,3387,2630000000.0,united-kingdom,13.0,3.48%,-29.93%,retail 
elekta ab,3370,2660000000.0,sweden,7.0,2.69%,-37.34%,medical-devices medical-equipment 
grindwell norton,3376,2640000000.0,india,23.0,-1.19%,-7.59%,
bachoco,3377,2640000000.0,mexico,52.0,0.59%,22.52%,agriculture food 
excelerate energy,3366,2670000000.0,usa,24.0,1.27%,,oil-gas energy 
genworth financial,3372,2650000000.0,usa,5.0,0.56%,21.32%,insurance 
pick n pay stores,3369,2660000000.0,south-africa,3.0,2.67%,12.04%,retail supermarkets 
bank of maharashtra,3373,2650000000.0,india,0.0,0.00%,39.29%,banks financial-services 
konecranes,3363,2680000000.0,finland,33.0,1.80%,-21.26%,machinery-manufacturing manufacturing 
synlab,3362,2680000000.0,germany,11.0,0.37%,-49.81%,diagnostics biotech 
rocket lab,3368,2660000000.0,usa,5.0,2.83%,-45.92%,aerospace 
atlantic union bankshares,3374,2640000000.0,usa,35.0,-2.35%,-15.82%,banks financial-services 
hayward,3375,2640000000.0,usa,12.0,0.73%,-43.43%,
keywords studios,3367,2670000000.0,ireland,32.0,5.10%,-12.71%,video-games professional-services 
gibson energy,3364,2670000000.0,canada,18.0,0.08%,-1.86%,oil-gas energy infrastructure 
alliance resource partners,3365,2670000000.0,usa,21.0,0.89%,43.39%,mining coal-mining 
price group,3371,2650000000.0,south-africa,10.0,1.74%,-17.69%,retail 
aksa energy,3357,2690000000.0,turkey,2.0,-1.29%,,electricity energy 
bankunited,3351,2700000000.0,usa,35.0,-0.17%,-24.52%,
bgf retail,3359,2680000000.0,south-korea,155.0,-2.53%,22.51%,retail supermarkets 
lic housing finance,3361,2680000000.0,india,4.0,0.70%,-6.87%,financial-services 
coca-cola icecek,3352,2690000000.0,turkey,10.0,2.05%,22.38%,beverages 
xl axiata,3358,2690000000.0,indonesia,0.0,34.43%,-5.26%,telecommunication 
iveric bio,3355,2690000000.0,usa,20.0,2.24%,52.85%,biotech pharmaceuticals 
crisil,3349,2700000000.0,india,36.0,-0.24%,-8.50%,financial-services 
durr,3360,2680000000.0,germany,38.0,1.25%,-20.33%,
freenet,3350,2700000000.0,germany,24.0,-1.66%,-11.10%,telecommunication 
bavarian nordic,3354,2690000000.0,denmark,37.0,-0.20%,7.69%,biotech pharmaceuticals 
forward air,3346,2700000000.0,usa,101.0,1.18%,-9.60%,transportation 
spectrum brands,3356,2690000000.0,usa,66.0,0.61%,-34.00%,
worthington industries,3347,2700000000.0,usa,54.0,2.23%,-6.38%,manufacturing 
encore wire,3348,2700000000.0,usa,147.0,0.39%,14.61%,manufacturing wire-and-cable-manufacturers 
alpha metallurgical resources,3353,2690000000.0,usa,169.0,2.40%,139.35%,coal-mining mining energy 
zee entertainment,3340,2710000000.0,india,2.0,0.74%,-34.94%,entertainment media-press 
frontier airlines,3339,2720000000.0,usa,12.0,2.96%,-9.81%,airlines travel transportation 
cal-maine foods,3332,2750000000.0,usa,56.0,-0.24%,36.70%,food agriculture 
ermenegildo zegna,3343,2710000000.0,italy,11.0,0.09%,11.37%,clothing luxury-goods 
safestore,3345,2700000000.0,united-kingdom,12.0,1.60%,-31.14%,real-estate investment reit 
port of tauranga,3330,2750000000.0,new-zealand,4.0,-0.16%,-9.40%,ports infrastructure 
alm brand,3333,2740000000.0,denmark,1.0,1.50%,-6.32%,financial-services insurance 
helen of troy,3331,2750000000.0,usa,114.0,-1.14%,-50.20%,consumer-goods 
makkah construction & development,3337,2730000000.0,saudi-arabia,16.0,0.00%,-20.41%,construction 
alsok,3338,2720000000.0,japan,26.0,1.02%,-28.39%,
ipca laboratories,3335,2730000000.0,india,10.0,2.76%,-24.56%,pharmaceuticals 
chegg,3336,2730000000.0,usa,21.0,-10.92%,-24.78%,education internet tech 
viasat,3334,2740000000.0,usa,36.0,2.17%,-20.83%,
fonterra,3344,2700000000.0,new-zealand,1.0,-0.38%,-17.24%,food dairy 
relaxo footwear,3342,2710000000.0,india,10.0,-0.47%,-39.12%,footwear 
big yellow group,3341,2710000000.0,united-kingdom,14.0,-0.08%,-32.14%,reit real-estate investment 
h&r reit,3329,2750000000.0,canada,9.0,0.08%,-8.65%,real-estate investment reit 
innospec,3324,2750000000.0,usa,111.0,0.49%,13.05%,
skf india,3325,2750000000.0,india,55.0,-0.63%,4.03%,
solaria energia,3326,2750000000.0,spain,22.0,2.34%,23.56%,renewable-energy electricity energy 
treehouse foods,3327,2750000000.0,usa,49.0,-1.13%,12.61%,
delhivery,3328,2750000000.0,india,3.0,-3.32%,,delivery-services transportation 
sumitomo dainippon pharma,3318,2770000000.0,japan,6.0,2.27%,-42.22%,pharmaceuticals biotech 
mercury systems,3323,2760000000.0,usa,47.0,0.22%,-20.57%,
microstrategy,3320,2760000000.0,usa,239.0,1.57%,-52.03%,software bitcoin tech 
nerolac paints,3322,2760000000.0,india,5.0,1.36%,-37.18%,paint-and-coating 
appian,3321,2760000000.0,usa,38.0,2.56%,-31.52%,software tech 
vicor,3319,2760000000.0,usa,62.0,1.82%,-42.14%,electronics 
simcorp,3317,2770000000.0,denmark,70.0,0.33%,-27.99%,software tech 
digitalocean,3316,2770000000.0,usa,28.0,3.67%,-51.59%,tech software internet 
canadian solar,3314,2780000000.0,canada,41.0,0.00%,47.61%,renewable-energy energy manufacturing 
hub group,3315,2780000000.0,usa,83.0,3.83%,3.87%,
northern oil and gas,3305,2790000000.0,usa,32.0,1.72%,37.50%,oil-gas energy 
jetblue airways,3312,2780000000.0,usa,8.0,2.01%,-42.02%,airlines travel transportation 
tandem diabetes care,3301,2800000000.0,usa,43.0,1.49%,-63.94%,
boise cascade,3306,2790000000.0,usa,70.0,1.88%,0.65%,building-materials 
lci industries,3302,2790000000.0,usa,110.0,-0.57%,-23.80%,
dorman products,3303,2790000000.0,usa,89.0,0.47%,-15.95%,automotive-suppliers 
walker & dunlop,3099,3160000000.0,usa,95.0,3.10%,-33.91%,financial-services 
vitesco technologies group,3310,2790000000.0,germany,69.0,-0.70%,22.81%,automotive-suppliers manufacturing 
bausch health,3304,2790000000.0,canada,7.0,-0.13%,-71.45%,pharmaceuticals 
mitra keluarga,3307,2790000000.0,indonesia,0.0,1.00%,33.33%,healthcare 
patterson companies,3309,2790000000.0,usa,28.0,0.68%,-0.23%,
joby aviation,3313,2780000000.0,usa,4.0,0.90%,-12.50%,aircraft-manufacturers aerospace manufacturing 
pegasus airlines,3308,2790000000.0,turkey,27.0,1.81%,247.20%,airlines travel transportation 
ansell,3401,2610000000.0,australia,20.0,1.59%,-17.25%,glove-ppe 
evergrande,3311,2780000000.0,china,0.0,8.55%,0.00%,real-estate 
outfront media,3100,3160000000.0,usa,19.0,1.15%,-24.34%,advertising 
cogent communications,3095,3170000000.0,usa,66.0,0.05%,3.36%,
beam therapeutics,3091,3180000000.0,usa,45.0,1.66%,-33.37%,crispr pharmaceuticals genomics biotech gene-therapy 
jackson financial,3098,3160000000.0,usa,38.0,1.87%,-10.64%,financial-services asset-management insurance 
bank of hawaii,3097,3160000000.0,usa,79.0,-1.27%,-13.80%,
burjeel holdings,3089,3180000000.0,united-arab-emirates,0.0,0.00%,,healthcare 
ncino,3088,3180000000.0,usa,28.0,1.84%,-37.73%,tech 
vistry group,3090,3180000000.0,united-kingdom,9.0,0.94%,-39.01%,construction 
proximus,3087,3190000000.0,belgium,9.0,0.00%,-50.53%,telecommunication 
groupe lagardere,3093,3170000000.0,france,22.0,0.97%,-18.26%,media-press entertainment 
meitetsu,3083,3190000000.0,japan,16.0,1.69%,0.25%,railways transportation 
ubisoft,3094,3170000000.0,france,21.0,0.30%,-57.55%,video-games entertainment tech 
progyny,3085,3190000000.0,usa,34.0,1.94%,-20.36%,
halkbank,3096,3160000000.0,turkey,0.0,-2.20%,56.10%,banks financial-services 
victoria's secret & co,3084,3190000000.0,usa,39.0,2.83%,-29.79%,clothing retail 
scorpio tankers,3092,3170000000.0,,53.0,1.24%,309.15%,transportation maritime-transportation oil-gas 
hutchmed,3086,3190000000.0,hong-kong,17.0,5.46%,-43.45%,pharmaceuticals biotech 
methanex,3082,3190000000.0,canada,45.0,2.38%,0.09%,
innovative industrial,3070,3220000000.0,usa,115.0,0.74%,-45.15%,
sembcorp marine,3077,3200000000.0,singapore,0.0,-0.74%,66.67%,
pennymac,3078,3200000000.0,usa,63.0,-0.33%,-7.15%,
ardagh metal packaging,3073,3200000000.0,,5.0,1.33%,-39.20%,packaging 
indosat,3069,3220000000.0,indonesia,0.0,0.00%,-4.76%,telecommunication 
indah kiat pulp & paper,3075,3200000000.0,indonesia,0.0,1.72%,1.72%,pulp-and-paper 
amc entertainment,3071,3210000000.0,usa,6.0,3.05%,-69.59%,entertainment 
idorsia,3068,3220000000.0,switzerland,18.0,2.18%,-18.00%,pharmaceuticals biotech 
old mutual,3074,3200000000.0,south-africa,0.0,-0.09%,-20.00%,financial-services insurance 
coromandel,3072,3200000000.0,india,10.0,0.14%,0.83%,fertilizer 
ca immo,3067,3220000000.0,,32.0,-0.84%,-15.77%,real-estate 
hillenbrand,3076,3200000000.0,usa,46.0,1.26%,-8.06%,
aurobindo pharma,3079,3200000000.0,india,5.0,0.27%,-40.78%,
irhythm,3081,3200000000.0,usa,106.0,0.27%,-24.66%,
enovis,3081,3200000000.0,usa,59.0,2.05%,-22.14%,medical-devices 
transportadora de gas del sur,3064,3230000000.0,,11.0,-0.76%,148.72%,
stagwell,3063,3240000000.0,usa,6.0,1.94%,-4.75%,advertising 
alk-abello,3062,3240000000.0,denmark,14.0,-0.89%,-35.54%,pharmaceuticals biotech 
tootsie roll industries,3054,3250000000.0,usa,45.0,0.21%,30.23%,
summit industrial income reit,3065,3230000000.0,canada,17.0,0.00%,-2.69%,real-estate investment reit 
vishay intertechnology,3058,3240000000.0,usa,22.0,0.26%,2.92%,semiconductors tech tech-hardware 
blackbaud,3060,3240000000.0,usa,61.0,-0.13%,-15.15%,software tech 
televisa,3051,3260000000.0,mexico,5.0,2.03%,-44.85%,media-press entertainment 
spx corporation,3066,3220000000.0,usa,71.0,0.28%,26.55%,
prestige consumer healthcare,3053,3250000000.0,usa,65.0,-0.14%,10.23%,
terex,3055,3240000000.0,usa,48.0,2.43%,3.68%,manufacturing 
ameresco,3056,3240000000.0,usa,62.0,2.74%,9.52%,renewable-energy energy 
coway,3061,3240000000.0,south-korea,44.0,-0.54%,-27.29%,
deepak nitrite,3059,3240000000.0,india,23.0,-0.44%,-33.47%,chemicals 
voltas,3052,3260000000.0,india,9.0,-0.96%,-42.91%,home-and-kitchen-appliances 
john bean technologies,3057,3240000000.0,usa,101.0,0.38%,-31.75%,
douglas emmett,3049,3270000000.0,usa,15.0,0.16%,-55.15%,reit real-estate investment 
highwoods properties,3044,3290000000.0,usa,29.0,0.13%,-36.67%,real-estate reit investment 
cargotec,3035,3310000000.0,finland,51.0,2.60%,-5.18%,machinery-manufacturing 
sportradar,3040,3300000000.0,switzerland,11.0,0.32%,-28.09%,entertainment gambling 
esab,3048,3270000000.0,usa,54.0,1.33%,,manufacturing 
capstone infrastructure,3043,3290000000.0,canada,10.0,0.07%,-16.18%,infrastructure energy renewable-energy electricity 
acea,3037,3310000000.0,italy,15.0,-0.07%,-22.81%,utility-companies energy oil-gas electricity 
mbank,3046,3290000000.0,poland,77.0,0.12%,-35.37%,banks financial-services 
sega sammy holdings,3039,3300000000.0,japan,14.0,0.62%,-5.79%,video-games entertainment tech 
radian group,3041,3300000000.0,usa,21.0,6.16%,-10.89%,insurance 
sensient technologies,3050,3270000000.0,usa,77.0,0.34%,-15.43%,
capstone copper,3036,3310000000.0,canada,4.0,4.73%,-3.23%,mining 
greggs,3042,3290000000.0,united-kingdom,32.0,2.48%,-12.28%,retail food 
one medical 1life healthcare,3038,3300000000.0,usa,16.0,0.12%,33.14%,
atlantica,3045,3290000000.0,united-kingdom,28.0,0.89%,-14.13%,oil-gas transportation infrastructure 
hankook tire,3047,3270000000.0,south-korea,26.0,1.84%,-14.34%,tires 
intellia therapeutics,3027,3330000000.0,usa,38.0,4.32%,-57.70%,crispr pharmaceuticals genomics biotech gene-therapy 
metsa board,3029,3320000000.0,finland,11.0,0.00%,0.72%,pulp-and-paper 
albany international,3024,3340000000.0,usa,107.0,-0.20%,20.83%,
community bank system,3034,3310000000.0,usa,61.0,-1.83%,-20.60%,
shoals technologies,3030,3320000000.0,usa,28.0,2.75%,39.31%,renewable-energy energy 
enersys,3025,3330000000.0,usa,81.0,1.38%,1.78%,
asm pacific technology,3033,3310000000.0,hong-kong,8.0,-0.63%,-24.06%,tech semiconductors 
skyline champion,3023,3340000000.0,usa,58.0,2.30%,-13.97%,construction 
comgas,3032,3320000000.0,brazil,25.0,0.00%,1.23%,utility-companies 
sunpower,3031,3320000000.0,usa,19.0,1.79%,-5.33%,
virgin money uk,3022,3340000000.0,united-kingdom,2.0,-0.23%,-8.71%,banks financial-services 
leroy seafood,3019,3340000000.0,norway,5.0,-0.36%,-30.45%,food 
bellway,3020,3340000000.0,united-kingdom,26.0,0.56%,-36.21%,construction 
workman,3021,3340000000.0,japan,40.0,-0.56%,-3.28%,retail 
harbour energy,3028,3330000000.0,united-kingdom,3.0,-0.46%,-24.08%,oil-gas energy 
goodyear,3026,3330000000.0,usa,11.0,2.03%,-51.14%,tires 
paramount resources,3014,3350000000.0,canada,23.0,1.40%,10.94%,energy oil-gas 
axonics modulation tech,3017,3350000000.0,usa,67.0,0.52%,25.68%,
mayr-melnhof,3016,3350000000.0,,167.0,0.52%,-22.02%,pulp-and-paper packaging 
mayora,3011,3360000000.0,indonesia,0.0,0.00%,0.00%,
gelsenwasser,3013,3350000000.0,germany,977.0,0.00%,-40.52%,
axcelis technologies,3015,3350000000.0,usa,102.0,0.21%,43.17%,semiconductors tech manufacturing 
acushnet holdings,3004,3380000000.0,usa,48.0,-0.21%,-2.23%,sports 
ollie's bargain outlet,3018,3340000000.0,usa,53.0,0.72%,18.99%,
newmarket corp,3008,3360000000.0,usa,341.0,0.40%,-2.65%,
travel leisure,3005,3380000000.0,usa,41.0,1.61%,-26.14%,travel media-press 
cvr energy,3009,3360000000.0,usa,33.0,2.71%,50.70%,
ameris bancorp,3010,3360000000.0,usa,48.0,-0.94%,-12.25%,
sprouts farmers market,3012,3360000000.0,usa,31.0,0.06%,8.58%,food retail 
logista compania de distribucion integral logista,3003,3380000000.0,spain,25.0,-0.17%,24.09%,transportation 
life time group,3006,3370000000.0,usa,17.0,-0.46%,4.20%,wellness 
first hawaiian bank,3007,3360000000.0,usa,26.0,-1.35%,-14.73%,
howden joinery,2500,4710000000.0,united-kingdom,8.0,0.35%,-26.62%,home-and-kitchen-appliances retail 
powszechny zakad ubezpieczen,2498,4720000000.0,poland,8.0,0.18%,-11.97%,insurance 
hellofresh,2496,4720000000.0,germany,27.0,0.08%,-56.72%,internet tech food food-delivery 
schaeffler,2497,4720000000.0,germany,7.0,0.46%,-18.03%,automotive-suppliers auto-parts manufacturing 
fielmann,3002,3390000000.0,germany,40.0,0.98%,-36.24%,
informatica,2495,4720000000.0,usa,16.0,0.12%,-43.40%,software tech 
mphasis,2487,4740000000.0,india,25.0,0.27%,-42.96%,professional-services it-services 
ryder,2490,4730000000.0,usa,94.0,1.76%,19.36%,transportation rental-and-leasing-services 
enagas,2499,4720000000.0,spain,18.0,1.71%,-21.13%,
macom,2489,4730000000.0,usa,67.0,3.57%,-6.39%,
natera,2492,4720000000.0,usa,43.0,8.45%,-35.61%,diagnostics genomics 
bezeq,2486,4740000000.0,israel,1.0,-1.25%,-1.71%,telecommunication 
asahi intecc,2494,4720000000.0,japan,17.0,4.22%,-6.10%,medical-devices medical-equipment 
hiscox,2493,4720000000.0,,13.0,0.04%,2.49%,insurance 
cyberagent,2488,4730000000.0,japan,9.0,2.02%,-41.55%,internet advertising video-games entertainment tech 
clear secure,2491,4730000000.0,usa,31.0,1.27%,27.19%,
orica,2484,4750000000.0,australia,10.0,0.00%,8.39%,chemicals 
castellum,2482,4750000000.0,sweden,14.0,0.70%,-39.35%,real-estate 
bandhan bank,2483,4750000000.0,india,2.0,-0.10%,-27.16%,banks financial-services 
element solutions,2480,4760000000.0,usa,19.0,1.44%,-20.32%,
hochtief,2476,4770000000.0,germany,63.0,-0.38%,-22.57%,construction 
bloom energy,2473,4770000000.0,usa,24.0,2.34%,35.02%,energy renewable-energy 
cirrus logic,2475,4770000000.0,usa,86.0,1.23%,-8.05%,
iac/interactivecorp,2485,4750000000.0,usa,53.0,1.81%,-59.29%,media-press 
ghitha,2477,4770000000.0,united-arab-emirates,19.0,-0.62%,164.75%,conglomerate 
akbank,2478,4770000000.0,turkey,0.0,-1.66%,58.62%,
schibsted,2474,4770000000.0,norway,21.0,2.35%,-37.88%,internet media-press e-commerce tech 
ks,2470,4780000000.0,germany,24.0,1.86%,20.55%,
ryman hospitality properties,2479,4760000000.0,usa,86.0,-0.33%,-3.90%,real-estate reit hotels travel entertainment 
bawag group,2471,4780000000.0,,58.0,1.04%,-6.82%,banks financial-services 
japan airport terminal,2481,4750000000.0,japan,51.0,-2.80%,25.59%,airports infrastructure 
argo investments,2472,4770000000.0,australia,6.0,-0.76%,-14.77%,investment asset-management 
endava,2469,4790000000.0,united-kingdom,84.0,2.32%,-34.78%,software tech 
portland general electric,2466,4790000000.0,usa,47.0,-0.73%,-10.70%,
jcdecaux,2467,4790000000.0,france,22.0,2.17%,-12.07%,
tata elxsi,2462,4800000000.0,india,77.0,0.13%,-10.39%,software tech 
driven brands,2461,4800000000.0,usa,28.0,1.25%,-9.57%,
axis capital,2468,4790000000.0,,56.0,0.45%,-0.69%,insurance 
terreno realty,2463,4800000000.0,usa,63.0,0.61%,-18.78%,
weibo,2455,4810000000.0,china,20.0,-1.74%,-40.51%,tech internet 
italgas,2460,4800000000.0,italy,5.0,0.00%,-11.76%,utility-companies oil-gas energy 
vornado realty trust,2454,4820000000.0,usa,23.0,0.56%,-49.37%,
tobu railway,2459,4800000000.0,japan,23.0,1.57%,0.09%,railways transportation 
bank ozk,2465,4790000000.0,usa,40.0,-1.92%,-19.12%,
jarir,2456,4810000000.0,saudi-arabia,40.0,0.53%,-27.01%,retail 
